SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,STATUS
1.0,,30.0,,,67.0,1
1.0,gasoline,30.0,101.0,5.0,,1
1.0,gasoline,30.0,103.0,7.0,65.0,1
1.0,gasoline,30.0,95.0,6.5,60.0,1
,gasoline,30.0,,,,1
1.0,gasoline,30.0,107.0,13.3,52.0,1
1.0,,,107.0,13.8,51.0,1
1.0,gasoline,30.0,106.0,14.8,,1
1.0,gasoline,30.0,109.0,15.4,48.0,1
1.0,gasoline,,,15.5,,1
1.0,,30.0,,,46.0,1
1.0,gasoline,30.0,,16.0,45.0,1
,gasoline,30.0,,16.3,44.0,1
,gasoline,,110.0,16.1,42.0,1
1.0,gasoline,30.0,110.0,15.2,40.0,1
1.0,gasoline,,110.0,15.2,,1
1.0,gasoline,,110.0,14.8,,1
1.0,,30.0,108.0,14.4,35.0,1
1.0,gasoline,30.0,108.0,14.2,34.0,1
1.0,gasoline,,92.0,13.2,,1
1.0,gasoline,30.0,89.0,14.2,32.0,1
1.0,gasoline,30.0,89.0,13.5,30.0,1
1.0,gasoline,30.0,,12.3,28.0,1
,gasoline,30.0,,12.0,27.0,1
,,30.0,92.0,12.5,26.0,1
1.0,gasoline,30.0,,11.5,25.0,1
1.0,gasoline,,107.0,,24.0,1
1.0,,30.0,106.0,,23.0,1
1.0,,30.0,88.0,,22.0,1
1.0,,,87.0,12.0,21.0,1
1.0,gasoline,30.0,106.0,11.5,20.0,1
1.0,gasoline,,87.0,,19.0,1
1.0,,30.0,86.0,11.6,,1
1.0,,30.0,,,,1
,gasoline,30.0,89.0,,16.0,1
,gasoline,30.0,90.0,10.3,15.0,1
1.0,,30.0,89.0,10.7,14.0,1
1.0,gasoline,30.0,86.0,10.0,,1
1.0,gasoline,30.0,85.0,10.7,,1
1.0,gasoline,30.0,92.0,10.9,11.0,1
1.0,gasoline,30.0,90.0,12.0,10.0,1
1.0,gasoline,30.0,97.0,11.8,,1
1.0,gasoline,30.0,,11.3,8.0,1
1.0,gasoline,30.0,89.0,11.3,7.0,1
1.0,gasoline,,,11.0,,1
1.0,,30.0,88.0,,5.0,1
1.0,gasoline,30.0,87.0,9.2,4.0,1
1.0,gasoline,,86.0,7.4,3.0,1
1.0,gasoline,30.0,78.0,4.5,2.0,1
1.0,gasoline,30.0,75.0,0.0,1.0,0
1.0,gasoline,40.0,104.0,0.0,75.0,0
1.0,gasoline,40.0,96.0,0.0,72.0,0
1.0,gasoline,40.0,96.0,,70.0,0
1.0,,40.0,96.0,,68.0,0
1.0,gasoline,40.0,96.0,1.3,67.0,1
1.0,gasoline,40.0,101.0,,,1
,gasoline,40.0,102.0,,65.0,1
1.0,gasoline,40.0,106.0,12.3,60.0,1
,gasoline,,107.0,9.2,55.0,1
1.0,gasoline,40.0,108.0,13.9,52.0,1
1.0,gasoline,40.0,94.0,13.9,51.0,1
1.0,,,93.0,13.5,50.0,1
,gasoline,40.0,93.0,14.5,48.0,1
1.0,gasoline,40.0,107.0,14.4,47.0,1
1.0,gasoline,40.0,107.0,14.5,46.0,1
1.0,gasoline,40.0,,14.9,45.0,1
1.0,gasoline,40.0,107.0,15.2,44.0,1
,gasoline,40.0,107.0,15.2,42.0,1
,gasoline,40.0,108.0,14.8,40.0,1
,gasoline,40.0,110.0,14.4,38.0,1
1.0,gasoline,40.0,110.0,14.4,36.0,1
1.0,gasoline,40.0,,14.9,,1
1.0,,40.0,107.0,14.4,34.0,1
,gasoline,40.0,108.0,14.4,33.0,1
,,40.0,106.0,14.5,32.0,1
1.0,gasoline,40.0,91.0,14.9,,1
,gasoline,40.0,92.0,14.1,28.0,1
1.0,gasoline,40.0,93.0,14.4,27.0,1
1.0,gasoline,,106.0,13.5,26.0,1
1.0,gasoline,,,13.5,25.0,1
1.0,gasoline,40.0,90.0,12.5,24.0,1
1.0,gasoline,40.0,90.0,,23.0,1
1.0,gasoline,40.0,87.0,13.2,22.0,1
1.0,gasoline,40.0,,13.1,21.0,1
1.0,,40.0,90.0,12.3,20.0,1
1.0,gasoline,40.0,88.0,,19.0,1
1.0,gasoline,,86.0,11.5,18.0,1
1.0,gasoline,40.0,85.0,11.3,17.0,1
1.0,,40.0,92.0,11.5,16.0,1
,,40.0,91.0,10.4,15.0,1
1.0,gasoline,,89.0,,14.0,1
1.0,gasoline,40.0,87.0,,13.0,1
1.0,gasoline,40.0,90.0,10.0,12.0,1
1.0,gasoline,,91.0,10.3,11.0,1
1.0,gasoline,40.0,,,10.0,1
1.0,,40.0,91.0,11.3,9.0,1
1.0,gasoline,40.0,91.0,,8.0,1
1.0,,,90.0,11.0,7.0,1
1.0,gasoline,40.0,87.0,11.2,6.0,1
1.0,,40.0,86.0,10.0,5.0,1
1.0,gasoline,40.0,,9.2,4.0,1
1.0,gasoline,40.0,86.0,7.4,3.0,1
1.0,gasoline,,80.0,4.5,2.0,1
,gasoline,40.0,75.0,0.0,1.0,0
,gasoline,50.0,95.0,0.0,75.0,0
1.0,,50.0,96.0,0.0,,0
1.0,,50.0,96.0,0.0,70.0,0
1.0,gasoline,50.0,101.0,0.0,68.0,0
1.0,,50.0,101.0,0.0,,0
1.0,gasoline,,100.0,2.8,,1
,gasoline,50.0,104.0,4.0,65.0,1
1.0,gasoline,50.0,,,,1
1.0,gasoline,50.0,94.0,6.4,,1
1.0,gasoline,50.0,108.0,13.2,52.0,1
1.0,gasoline,,,12.5,,1
1.0,,50.0,108.0,13.2,50.0,1
1.0,gasoline,,108.0,13.4,48.0,1
,gasoline,50.0,107.0,13.5,47.0,1
1.0,gasoline,,106.0,13.3,,1
1.0,,50.0,107.0,14.4,45.0,1
1.0,gasoline,50.0,92.0,14.9,,1
1.0,gasoline,50.0,92.0,14.9,42.0,1
1.0,,50.0,92.0,13.6,40.0,1
1.0,gasoline,50.0,95.0,14.3,38.0,1
1.0,gasoline,50.0,108.0,14.5,36.0,1
1.0,gasoline,50.0,107.0,14.2,35.0,1
1.0,gasoline,50.0,107.0,,34.0,1
1.0,gasoline,50.0,107.0,14.4,33.0,1
1.0,gasoline,50.0,106.0,,32.0,1
1.0,gasoline,50.0,,,,1
1.0,gasoline,50.0,,13.5,,1
1.0,gasoline,50.0,,13.5,27.0,1
1.0,gasoline,50.0,107.0,13.3,26.0,1
1.0,gasoline,50.0,106.0,12.5,25.0,1
1.0,gasoline,50.0,105.0,,24.0,1
1.0,gasoline,50.0,92.0,12.3,23.0,1
1.0,gasoline,50.0,106.0,12.5,22.0,1
,,50.0,105.0,12.5,21.0,1
1.0,gasoline,50.0,,11.5,20.0,1
1.0,gasoline,50.0,106.0,12.5,19.0,1
,gasoline,,104.0,12.0,18.0,1
1.0,gasoline,50.0,88.0,,17.0,1
1.0,gasoline,,93.0,10.4,16.0,1
1.0,gasoline,50.0,92.0,10.3,15.0,1
1.0,gasoline,50.0,90.0,,14.0,1
1.0,gasoline,50.0,89.0,10.0,13.0,1
1.0,gasoline,,92.0,,12.0,1
1.0,,50.0,89.0,10.3,,1
1.0,gasoline,,90.0,10.3,10.0,1
1.0,,50.0,90.0,,9.0,1
1.0,gasoline,,91.0,11.2,8.0,1
,gasoline,50.0,90.0,11.3,7.0,1
1.0,gasoline,50.0,90.0,10.5,,1
1.0,gasoline,50.0,90.0,,5.0,1
,gasoline,50.0,86.0,,4.0,1
,gasoline,50.0,84.0,5.8,3.0,1
,gasoline,50.0,82.0,3.2,2.0,0
1.0,gasoline,50.0,,0.0,1.0,0
1.0,gasoline,60.0,,0.0,75.0,0
,gasoline,60.0,,0.0,72.0,0
1.0,gasoline,,102.0,0.0,,0
1.0,gasoline,60.0,106.0,0.0,68.0,0
1.0,gasoline,60.0,,2.8,67.0,0
1.0,gasoline,60.0,102.0,,,1
1.0,gasoline,60.0,,4.4,,1
1.0,gasoline,,95.0,,60.0,1
,gasoline,60.0,107.0,11.0,55.0,1
1.0,gasoline,60.0,106.0,11.0,52.0,1
,gasoline,60.0,105.0,11.6,,1
,,,105.0,12.5,50.0,1
1.0,gasoline,60.0,108.0,12.6,48.0,1
1.0,gasoline,60.0,110.0,,47.0,1
1.0,,60.0,109.0,13.8,46.0,1
1.0,gasoline,,108.0,14.2,45.0,1
1.0,,60.0,108.0,14.2,,1
,gasoline,60.0,107.0,14.8,42.0,1
1.0,gasoline,,107.0,13.8,40.0,1
1.0,,60.0,,14.6,38.0,1
1.0,gasoline,60.0,107.0,14.4,36.0,1
1.0,gasoline,60.0,108.0,14.5,,1
1.0,gasoline,,,,34.0,1
1.0,gasoline,60.0,107.0,14.2,33.0,1
1.0,gasoline,60.0,107.0,14.2,32.0,1
1.0,gasoline,60.0,106.0,14.0,30.0,1
1.0,gasoline,,107.0,13.6,28.0,1
,gasoline,,108.0,13.5,,1
1.0,,,106.0,12.6,26.0,1
1.0,gasoline,60.0,,12.5,25.0,1
1.0,gasoline,60.0,106.0,12.5,,1
1.0,,,105.0,12.2,,1
1.0,gasoline,60.0,107.0,12.3,22.0,1
1.0,gasoline,60.0,105.0,12.3,21.0,1
,gasoline,,104.0,12.0,20.0,1
1.0,gasoline,60.0,90.0,12.2,19.0,1
1.0,gasoline,,90.0,11.9,18.0,1
1.0,gasoline,60.0,89.0,,17.0,1
1.0,,60.0,92.0,10.9,16.0,1
,,60.0,89.0,,,1
1.0,gasoline,60.0,88.0,11.0,14.0,1
1.0,gasoline,60.0,86.0,9.5,,1
1.0,gasoline,60.0,90.0,9.6,12.0,1
1.0,gasoline,60.0,,9.3,11.0,1
1.0,,60.0,88.0,,10.0,1
,,,90.0,10.7,9.0,1
,,60.0,91.0,11.0,8.0,1
1.0,gasoline,60.0,90.0,10.6,7.0,1
1.0,gasoline,60.0,,10.2,6.0,1
1.0,gasoline,60.0,88.0,9.7,5.0,1
1.0,,60.0,87.0,8.6,4.0,1
1.0,gasoline,60.0,85.0,5.8,3.0,0
,,60.0,83.0,3.4,2.0,0
,gasoline,,,0.0,1.0,0
1.0,gasoline,,96.0,0.0,,0
1.0,gasoline,,103.0,0.0,,0
,gasoline,70.0,,0.0,70.0,0
,,70.0,104.0,0.0,68.0,0
1.0,gasoline,70.0,103.0,1.9,67.0,0
1.0,gasoline,70.0,102.0,2.8,66.0,1
1.0,gasoline,,102.0,3.2,,1
1.0,gasoline,70.0,106.0,7.2,,1
1.0,gasoline,70.0,,7.5,55.0,1
1.0,gasoline,70.0,108.0,9.7,52.0,1
1.0,,70.0,103.0,,51.0,1
1.0,,70.0,103.0,10.6,50.0,1
,gasoline,70.0,105.0,11.0,,1
1.0,gasoline,70.0,105.0,12.2,47.0,1
1.0,,,106.0,12.0,46.0,1
1.0,,70.0,,12.5,45.0,1
,,70.0,106.0,12.5,44.0,1
1.0,,70.0,108.0,12.9,42.0,1
1.0,gasoline,70.0,107.0,13.2,40.0,1
1.0,gasoline,70.0,108.0,13.5,38.0,1
,,,106.0,,36.0,1
1.0,gasoline,70.0,107.0,13.6,35.0,1
1.0,gasoline,,106.0,13.0,34.0,1
1.0,,70.0,91.0,12.9,33.0,1
,gasoline,70.0,106.0,12.6,,1
1.0,,,,13.0,30.0,1
1.0,gasoline,70.0,92.0,,28.0,1
1.0,gasoline,70.0,95.0,12.9,27.0,1
1.0,gasoline,70.0,,12.0,26.0,1
1.0,gasoline,70.0,,11.6,25.0,1
1.0,gasoline,,,11.6,24.0,1
,gasoline,70.0,,11.2,23.0,1
1.0,,70.0,107.0,10.7,22.0,1
1.0,gasoline,,104.0,10.9,21.0,1
,gasoline,,104.0,11.0,20.0,1
1.0,gasoline,70.0,92.0,11.2,19.0,1
1.0,gasoline,70.0,91.0,11.0,,1
1.0,gasoline,70.0,88.0,10.7,17.0,1
1.0,gasoline,70.0,92.0,10.6,16.0,1
1.0,,70.0,90.0,10.7,15.0,1
,gasoline,70.0,87.0,,,1
1.0,gasoline,70.0,,9.3,13.0,1
1.0,gasoline,70.0,,8.8,12.0,1
1.0,gasoline,70.0,88.0,8.6,,1
1.0,,70.0,88.0,8.3,10.0,1
1.0,gasoline,,89.0,9.3,9.0,1
,gasoline,70.0,,,,1
1.0,gasoline,70.0,90.0,,7.0,1
1.0,gasoline,,87.0,10.3,6.0,1
1.0,gasoline,70.0,86.0,9.5,5.0,1
1.0,gasoline,70.0,87.0,8.1,4.0,1
1.0,gasoline,70.0,86.0,5.8,3.0,1
1.0,gasoline,70.0,80.0,,2.0,0
1.0,gasoline,70.0,75.0,0.0,1.0,0
1.0,gasoline,80.0,96.0,0.0,75.0,0
1.0,,80.0,102.0,0.0,72.0,0
1.0,gasoline,80.0,102.0,0.0,70.0,0
,gasoline,80.0,102.0,0.0,68.0,0
1.0,gasoline,,,,67.0,0
1.0,,80.0,96.0,2.8,66.0,0
1.0,,80.0,105.0,2.8,,0
1.0,gasoline,80.0,95.0,5.8,60.0,0
1.0,gasoline,80.0,94.0,6.5,55.0,0
1.0,gasoline,80.0,107.0,8.2,52.0,1
1.0,gasoline,80.0,,8.2,51.0,1
1.0,gasoline,,103.0,,50.0,1
1.0,gasoline,,106.0,10.5,48.0,1
,,80.0,104.0,11.9,47.0,1
1.0,,80.0,,11.2,46.0,1
1.0,gasoline,,105.0,11.6,45.0,1
1.0,,,106.0,12.0,44.0,1
1.0,gasoline,80.0,107.0,12.2,,1
,gasoline,,106.0,11.6,40.0,1
1.0,gasoline,,110.0,11.6,38.0,1
1.0,gasoline,80.0,106.0,12.3,,1
1.0,,80.0,106.0,,35.0,1
1.0,gasoline,80.0,105.0,,34.0,1
,gasoline,,106.0,,33.0,1
1.0,,80.0,106.0,11.8,32.0,1
1.0,gasoline,,,12.2,30.0,1
1.0,gasoline,80.0,,11.6,28.0,1
1.0,gasoline,,,12.0,27.0,1
1.0,,80.0,105.0,11.3,26.0,1
,,80.0,,10.6,25.0,1
1.0,gasoline,80.0,104.0,,24.0,1
1.0,gasoline,,,11.3,23.0,1
1.0,gasoline,80.0,,,22.0,1
1.0,,80.0,92.0,10.5,21.0,1
1.0,gasoline,80.0,104.0,10.0,,1
1.0,gasoline,80.0,104.0,11.0,19.0,1
1.0,gasoline,,90.0,10.7,,1
1.0,gasoline,80.0,89.0,10.4,,1
1.0,gasoline,80.0,91.0,10.3,16.0,1
1.0,gasoline,80.0,89.0,10.3,15.0,1
1.0,gasoline,80.0,90.0,10.6,14.0,1
1.0,gasoline,80.0,88.0,,,1
1.0,gasoline,,,8.6,12.0,1
1.0,,80.0,,7.7,11.0,1
,gasoline,,92.0,7.9,10.0,1
1.0,gasoline,80.0,,8.5,,1
,gasoline,80.0,90.0,9.3,8.0,1
1.0,gasoline,,89.0,10.0,,1
1.0,gasoline,80.0,,9.5,6.0,1
,gasoline,80.0,86.0,9.5,5.0,1
1.0,,80.0,87.0,7.7,4.0,1
1.0,gasoline,80.0,,,3.0,0
1.0,,80.0,80.0,,2.0,0
1.0,gasoline,80.0,75.0,0.0,1.0,0
1.0,,90.0,,0.0,,0
1.0,,90.0,98.0,0.0,72.0,0
1.0,,90.0,104.0,0.0,70.0,0
1.0,gasoline,90.0,,0.0,68.0,0
1.0,gasoline,90.0,96.0,2.1,67.0,0
1.0,gasoline,,96.0,2.5,66.0,0
,gasoline,90.0,105.0,3.1,65.0,0
1.0,gasoline,,,,60.0,0
,gasoline,,,6.1,55.0,0
1.0,gasoline,90.0,106.0,7.0,52.0,0
1.0,gasoline,90.0,104.0,8.5,51.0,0
1.0,,90.0,104.0,10.0,50.0,0
,gasoline,90.0,106.0,10.9,48.0,1
1.0,gasoline,,106.0,11.0,47.0,1
1.0,gasoline,90.0,106.0,12.0,46.0,1
1.0,,90.0,107.0,13.1,45.0,1
1.0,gasoline,90.0,106.0,11.9,44.0,1
1.0,,90.0,105.0,11.0,42.0,1
1.0,,90.0,106.0,11.0,40.0,1
1.0,gasoline,90.0,,,,1
1.0,gasoline,,106.0,12.2,36.0,1
1.0,,90.0,,12.5,35.0,1
,gasoline,90.0,106.0,12.6,34.0,1
,gasoline,90.0,,13.2,,1
1.0,gasoline,90.0,106.0,12.6,,1
,gasoline,90.0,,12.8,30.0,1
,gasoline,90.0,106.0,12.8,28.0,1
1.0,,90.0,106.0,,27.0,1
,gasoline,90.0,,11.5,,1
1.0,gasoline,90.0,105.0,11.0,25.0,1
1.0,gasoline,,104.0,,24.0,1
1.0,gasoline,90.0,104.0,10.2,23.0,1
1.0,gasoline,,105.0,,22.0,1
1.0,gasoline,90.0,105.0,10.0,21.0,1
1.0,gasoline,90.0,104.0,10.2,20.0,1
1.0,gasoline,90.0,91.0,10.2,19.0,1
1.0,gasoline,90.0,90.0,11.2,18.0,1
1.0,gasoline,90.0,89.0,10.9,17.0,1
,gasoline,90.0,102.0,10.9,,1
1.0,gasoline,90.0,89.0,10.9,15.0,1
1.0,gasoline,,90.0,10.4,,1
1.0,gasoline,90.0,88.0,9.5,13.0,1
1.0,,,90.0,,12.0,1
1.0,gasoline,90.0,88.0,7.4,,1
,gasoline,90.0,89.0,7.9,,1
,gasoline,90.0,89.0,8.5,,1
,gasoline,90.0,90.0,8.9,8.0,1
1.0,,90.0,,10.0,7.0,1
1.0,gasoline,90.0,87.0,9.7,,1
1.0,gasoline,90.0,,9.2,5.0,1
,gasoline,90.0,86.0,7.5,,0
1.0,gasoline,90.0,85.0,4.4,3.0,0
,gasoline,90.0,84.0,3.2,2.0,0
1.0,gasoline,90.0,,0.0,1.0,0
,gasoline,,98.0,,,0
1.0,,100.0,102.0,0.0,72.0,0
1.0,gasoline,100.0,106.0,0.0,70.0,0
1.0,gasoline,100.0,104.0,0.0,68.0,0
1.0,gasoline,100.0,103.0,1.5,,0
1.0,gasoline,100.0,,2.1,,0
1.0,gasoline,100.0,105.0,2.5,,0
,gasoline,100.0,95.0,3.4,60.0,0
1.0,gasoline,100.0,105.0,,55.0,0
1.0,,100.0,106.0,5.4,,0
,gasoline,100.0,102.0,4.9,51.0,0
,gasoline,,95.0,,50.0,0
1.0,gasoline,100.0,,,48.0,0
1.0,,100.0,104.0,,47.0,0
,gasoline,100.0,104.0,8.6,46.0,0
1.0,gasoline,100.0,104.0,,45.0,0
1.0,gasoline,100.0,103.0,9.1,44.0,1
1.0,,,,9.9,42.0,1
1.0,gasoline,100.0,104.0,8.8,40.0,1
1.0,gasoline,100.0,107.0,9.6,38.0,1
1.0,gasoline,,104.0,10.3,36.0,1
1.0,gasoline,,,10.3,35.0,1
1.0,,100.0,105.0,10.0,34.0,1
1.0,gasoline,,105.0,,33.0,1
1.0,gasoline,100.0,105.0,9.0,32.0,1
,gasoline,100.0,103.0,10.3,30.0,1
1.0,gasoline,100.0,105.0,,28.0,1
1.0,gasoline,100.0,,,27.0,1
1.0,gasoline,100.0,104.0,,26.0,1
1.0,gasoline,100.0,,,25.0,1
1.0,gasoline,100.0,104.0,7.4,24.0,1
,gasoline,,103.0,6.5,23.0,1
1.0,,100.0,104.0,6.5,,1
1.0,,100.0,,5.6,21.0,1
,,,94.0,,20.0,1
1.0,gasoline,,91.0,,19.0,1
,gasoline,100.0,89.0,7.0,18.0,1
1.0,gasoline,100.0,,8.5,,1
1.0,gasoline,100.0,91.0,,16.0,1
1.0,gasoline,100.0,90.0,9.9,15.0,1
1.0,,100.0,88.0,9.7,14.0,1
1.0,gasoline,100.0,88.0,,,1
1.0,gasoline,100.0,,4.9,12.0,1
,gasoline,100.0,88.0,,11.0,1
1.0,gasoline,100.0,92.0,5.6,10.0,1
1.0,,100.0,89.0,5.2,,1
1.0,,100.0,90.0,5.8,8.0,1
,gasoline,,89.0,7.1,7.0,1
1.0,,,89.0,7.5,6.0,1
1.0,gasoline,100.0,,7.0,,1
1.0,,100.0,86.0,6.5,4.0,0
1.0,gasoline,,,3.7,,0
1.0,gasoline,100.0,79.0,3.0,2.0,0
,gasoline,100.0,75.0,0.0,,0
1.0,,110.0,108.0,0.0,75.0,0
1.0,,,96.0,0.0,72.0,0
1.0,gasoline,110.0,96.0,0.0,,0
,gasoline,110.0,96.0,0.0,68.0,0
1.0,gasoline,110.0,96.0,1.5,67.0,0
1.0,,,96.0,1.9,66.0,0
1.0,gasoline,110.0,106.0,2.7,65.0,0
1.0,gasoline,110.0,96.0,,60.0,0
1.0,,110.0,95.0,3.4,,0
1.0,gasoline,,108.0,4.2,52.0,0
1.0,gasoline,110.0,102.0,4.8,,0
1.0,gasoline,110.0,95.0,5.0,50.0,0
1.0,gasoline,110.0,104.0,5.7,,0
1.0,gasoline,110.0,105.0,6.8,47.0,0
1.0,gasoline,110.0,104.0,6.7,46.0,0
,,110.0,106.0,6.8,45.0,1
,gasoline,,105.0,,44.0,1
1.0,gasoline,,106.0,7.1,,1
,,110.0,106.0,7.7,40.0,1
,,110.0,,7.8,38.0,1
1.0,gasoline,110.0,106.0,8.1,,1
1.0,gasoline,110.0,107.0,,35.0,1
1.0,gasoline,110.0,,8.5,34.0,1
1.0,gasoline,,104.0,8.7,,1
1.0,gasoline,110.0,107.0,,32.0,1
1.0,,110.0,,,30.0,1
1.0,gasoline,110.0,,8.8,28.0,1
,gasoline,110.0,106.0,,27.0,1
1.0,,110.0,106.0,,26.0,1
1.0,gasoline,110.0,104.0,8.5,25.0,1
1.0,gasoline,,,9.2,24.0,1
1.0,gasoline,110.0,104.0,7.3,23.0,1
1.0,gasoline,110.0,103.0,7.5,,1
,gasoline,110.0,92.0,6.5,21.0,1
1.0,gasoline,110.0,95.0,,20.0,1
1.0,gasoline,110.0,101.0,6.5,19.0,1
,gasoline,110.0,101.0,6.0,18.0,1
1.0,gasoline,110.0,100.0,,,1
1.0,,110.0,100.0,7.7,16.0,1
1.0,gasoline,,92.0,8.5,15.0,1
,gasoline,110.0,,9.3,14.0,1
1.0,gasoline,110.0,,6.5,13.0,1
1.0,gasoline,,91.0,6.1,12.0,1
1.0,gasoline,110.0,,5.2,11.0,1
1.0,gasoline,110.0,,,,1
1.0,gasoline,110.0,90.0,5.0,9.0,1
1.0,gasoline,,89.0,4.5,8.0,1
1.0,gasoline,110.0,,7.0,,1
1.0,gasoline,110.0,,8.1,6.0,1
1.0,,110.0,89.0,7.5,,1
1.0,,110.0,87.0,6.7,4.0,0
1.0,,110.0,83.0,3.7,3.0,0
1.0,gasoline,110.0,,,2.0,0
1.0,,110.0,74.0,0.0,1.0,0
1.0,gasoline,120.0,97.0,,75.0,0
1.0,,120.0,96.0,0.0,72.0,0
1.0,gasoline,120.0,96.0,0.0,70.0,0
1.0,gasoline,120.0,96.0,0.0,68.0,0
1.0,gasoline,120.0,96.0,,,0
1.0,gasoline,,,,66.0,0
