หมายเลขทางหลวง,หมายเลขตอนควบคุม,ชื่อตอน,รถยนต์นั่งไม่เกิน 7 คน,รถยนต์นั่งเกิน  7 คน,รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก,รถบรรทุกขนาดกลาง,รถบรรทุกขนาดใหญ่,รถบรรทุกพ่วง,รถบรรทุกกึ่งพ่วง,รวม,รถจักรยานยนต์,จังหวัด
1,1101,แม่เชียงรายบน - ดอนไชย,39569975,25869828,172795,0,789918,13539695,10330652,11527872,11824091,14539436,128164262,2048851,ลำปาง
1,1102,ดอนไชย - สบปราบ,52044561,21996710,3308099,85925,524140,15320365,9202530,6306869,6031910,10190663,125011772,14890742,ลำปาง
1,1103,สบปราบ - เกาะคา,91502267,7611333,628120,0,997602,105283953,17919887,12192913,10253131,22316725,268705931,22649259,ลำปาง
1,1104,เกาะคา - สามัคคี,164348067,165858799,11966956,10889860,12162792,87426625,23171553,24934073,25045980,24283619,550088324,90469072,ลำปาง
1,1201,สามัคคี - บ้านหวด,99853541,103672679,26733967,22165504,18636427,73385463,26081329,23204890,22189676,21923786,437847262,88855390,ลำปาง
1,1202,บ้านหวด - แม่กา,44821591,39765582,15920161,9819522,11017364,29681420,18329774,18037278,16505154,13190195,217088041,39194518,ลำปาง
1,1301,แม่กา - แยกประตูชัย,89913472,29285118,453330,154132,317331,67618703,4569566,1731721,2792513,1024526,197860412,72133870,พะเยา
1,1302,แยกประตูชัย - พาน,54129597,12430171,778043,1000342,2204457,89419427,9169798,6928292,5668603,6094674,187823404,28639410,พะเยา
1,1401,พาน - ร่องขุ่น,105784922,75705637,1820451,1663515,1799526,18957796,8087404,5545051,1548429,659129,221571860,78865270,เชียงราย
1,1402,ร่องขุ่น - แยกแม่กรณ์,27385075,28456041,824386,776542,839107,36740385,1685575,1759181,1722378,1913753,102102423,22839911,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,77731303,55007406,799506,737476,599630,82742001,592737,551384,482461,330830,219574734,54959160,เชียงราย
1,1404,ห้วยพลู - แม่คำ,29065680,39936840,665760,359160,289080,31956480,1848360,735840,560640,429240,105847080,20463360,เชียงราย
1,1405,แม่คำ - กลางสะพานแม่น้ำสาย(เขตแดนไทย/พม่า),27550631,37855132,631057,340439,274012,30290748,1752014,697484,531417,406866,100329800,19396707,เชียงราย
2,101,สระบุรี - ตาลเดี่ยว,54523773,60478164,4470228,5170919,7811073,36903033,41869953,38239371,35747042,32539239,317752795,12092085,สระบุรี
2,102,ตาลเดี่ยว - ซับบอน,111740078,123942904,9161208,10597191,16007878,75628438,85807558,78367106,73259369,66685354,651197084,24781310,สระบุรี
2,103,ซับบอน - มวกเหล็ก,62320579,44704639,3358304,7912826,7739051,27521117,10103200,11950065,12378441,10539658,198527880,7221767,สระบุรี
2,201,มวกเหล็ก - บ่อทอง,110380231,72427105,63709395,43760523,50546844,213286249,115632023,76991005,122854890,115499736,985088001,32912993,นครราชสีมา
2,202,บ่อทอง - มอจะบก,153392179,54592739,3317616,2144828,8706100,62696597,23962906,26128865,26720541,31866015,393528386,17317109,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,31925455,28635126,229877,301928,1245453,6426263,14437648,13974463,6536055,5770942,109483210,5688598,นครราชสีมา
2,204,ไร่โคกสูง - โคกกรวด,91506814,22570870,2253510,4793180,8334410,107882320,16740360,11467862,15788878,14773010,296111214,18285624,นครราชสีมา
2,205,โคกกรวด - นครราชสีมา,163899313,154060465,27594946,14483273,21816575,162194999,13077723,15420306,14897468,14938209,602383277,81474350,นครราชสีมา
2,301,นครราชสีมา - ดอนหวาย,436622128,176173410,12122889,2934022,11556840,282005761,2217026,792469,75473,132078,924632096,197739889,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,109609500,74594685,662475,1517670,4480740,208378500,18778155,17585700,39375105,15417600,490400130,18597480,นครราชสีมา
2,303,บ้านวัด - ตาลาด,54804750,37297343,331238,758835,2240370,104189250,9389078,8792850,19687553,7708800,245200067,9298740,นครราชสีมา
2,304,ตาลาด - หนองแวงโสกพระ,90965921,61906807,549794,1259528,3718607,172935212,15584162,14594532,32677758,12795206,406987527,15434218,นครราชสีมา
2,401,หนองแวงโสกพระ - พล,52150872,35491247,315198,722089,2131882,99143965,8934419,8367063,18734198,7335507,233326440,8848456,ขอนแก่น
2,402,พล - บ้านไผ่,117756300,41131485,1019445,332880,1706010,31155488,12711855,9383055,11484360,21002648,247683526,15291675,ขอนแก่น
2,403,บ้านไผ่ - ท่าพระ,133337318,46573830,1154334,376925,1931742,35277850,14393834,10624581,13003922,23781629,280455965,17315005,ขอนแก่น
2,501,ท่าพระ - ขอนแก่น,28826828,28536711,4258163,0,1258732,42626083,1668170,1654133,1605000,961596,111395416,13221362,ขอนแก่น
2,502,ขอนแก่น - หินลาด,198457086,150611843,6214232,4809149,4077637,5453749,6424270,4070395,3809658,3708260,387636279,36300387,ขอนแก่น
2,503,หินลาด - โนนสะอาด,102408176,99215232,3523249,2725013,4569213,63156984,25392163,22832303,21180780,22722201,367725314,28777785,ขอนแก่น
2,601,โนนสะอาด - อุดรธานี,251860983,14781909,11010627,795949,2710017,149202522,19026970,9684045,8262708,15123030,482458760,60530021,อุดรธานี
2,602,อุดรธานี - น้ำสวย,77911339,30052875,803101,390983,253611,71359728,5114484,3656222,4226846,3635088,197404277,48090940,อุดรธานี
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),96181908,35520876,12953008,4611803,4711698,32890317,15258909,14251638,14243314,10305799,240929270,29085995,หนองคาย
3,101,บางนา - แบริ่ง,8410171,7356107,854501,705021,1470143,3062797,691152,503917,65494,44690,23163993,5540003,กรุงเทพมหานคร
3,102,แบริ่ง - ท้ายบ้าน,52190073,45648981,5302684,4375073,9123102,19006463,4289006,3127101,406428,277327,143746238,34378985,สมุทรปราการ
3,103,ท้ายบ้าน - บางตำหรุ,35656576,31187662,3622826,2989076,6232959,12985331,2930275,2136455,277674,189472,98208306,23487933,สมุทรปราการ
3,104,บางตำหรุ - คลองด่าน,109805231,31465756,5965889,6161620,6161620,100558887,35576112,10686926,7523909,6975862,320881812,39678639,สมุทรปราการ
3,200,คลองด่าน - บางปะกง,23957498,23404751,19878429,21260297,20379995,30042836,30165669,25293304,23911436,21311477,239605692,18614275,ฉะเชิงเทรา
3,300,หนองไม้แดง - ชลบุรี,18671940,13234214,1510903,1478513,3595301,27844054,281984,3811,0,0,66620720,17505896,ชลบุรี
3,401,ชลบุรี - ศรีราชา,122317885,95394514,26825760,2199115,10817579,88521562,1337843,671792,120578,28709,348235337,50723194,ชลบุรี
3,402,ศรีราชา - พัทยา,153026863,120272282,20935918,3615121,20551894,59331677,21809903,20148007,19955995,28960691,468608351,81426288,ชลบุรี
3,403,พัทยา - พลูตาหลวง,137468210,131933712,19394908,4362344,3854814,57785951,18126083,1280910,229597,84588,374521117,80806076,ชลบุรี
3,501,พลูตาหลวง - มาบตาพุด,95476778,40702821,5717579,5355038,6722121,101896781,7794639,9123958,8708546,5098238,286596499,43565387,ระยอง
3,502,มาบตาพุด - ระยอง,46093510,19650180,2760287,2585262,3245252,49192908,3763033,4404791,4204242,2461286,138360751,21032147,ระยอง
3,503,ระยอง - กะเฉด,42607874,25756700,3217366,79990,133316,79047649,3946161,3546212,1430928,2417468,162183664,16086828,ระยอง
3,504,กะเฉด - นายายอาม,150297564,11516553,0,0,7221505,181775170,19043806,13409286,10177080,3945620,397386584,41203343,ระยอง
3,601,นายายอาม - บ้านสิ้ว,52468670,39804729,1020860,554432,510430,162923934,5623529,5033895,3951431,3546608,275438518,10930240,จันทบุรี
3,602,บ้านสิ้ว - โพธิ์ทอง,50282400,23011425,1352325,673425,1604175,71443275,5403825,4243125,1149750,695325,159859050,9406050,จันทบุรี
3,603,โพธิ์ทอง - บ้านพลิ้ว,57914550,37150065,831835,353138,486545,78773205,4112090,3091915,1734298,1349770,185797411,24523438,จันทบุรี
3,701,บ้านพลิ้ว - แม่น้ำเวฬุ,26295675,27657327,197341,296011,1618195,60504720,3019316,3019316,2930512,3088385,128626798,18599380,จันทบุรี
3,702,แม่น้ำเวฬุ - เขาสมิง,6952066,7312060,52173,78260,427819,15996272,798248,798248,774771,816509,34006426,4917315,จันทบุรี
3,703,เขาสมิง - แม่น้ำตราด,17955531,18885311,134751,202126,1104956,41314565,2061686,2061686,2001048,2108848,87830508,12700253,ตราด
3,704,แม่น้ำตราด - หาดเล็ก,154201579,37249517,5552526,698032,634574,148236580,6440930,6567845,3870904,3617074,367069561,90871054,ตราด
4,100,อ้อมใหญ่ - นครชัยศรี,146115762,37230623,6372617,1651962,3197001,129890182,7340271,4426616,5388924,417000,342030958,72638208,นครปฐม
4,201,นครชัยศรี - พระประโทน,152923932,72377128,8786022,9336182,9030078,86366923,24748949,24260836,24202925,4649477,416682452,15598911,นครปฐม
4,202,พระประโทน - สระกระเทียม,136572550,95156536,14870082,16314574,17699105,133514590,34231715,43574575,48578510,28797158,569309395,45177142,นครปฐม
4,301,สระกระเทียม - คลองอีจาง,44974332,30368182,8351593,8735364,9178528,121399629,20554604,15259475,14126436,8447536,281395679,33671356,ราชบุรี
4,302,คลองอีจาง - หลุมดิน,98596689,86288461,32897067,26543026,31464863,226208228,51544796,42282727,39018466,28287842,663132165,77295384,ราชบุรี
4,303,หลุมดิน - ห้วยชินสีห์,49747225,44145810,1476078,695378,1190247,46359926,11347879,6928179,5247328,3259316,170397366,38621184,ราชบุรี
4,401,ห้วยชินสีห์ - ปากท่อ,34579377,34054207,126177,228483,651347,43739161,2721336,3751215,2520134,2107501,124478938,13306581,ราชบุรี
4,402,ปากท่อ - สระพัง,49024228,46633907,12656121,1313419,6390964,36675074,13265024,13174444,7578576,6260125,192971882,28251080,เพชรบุรี
4,501,สระพัง - เขาวัง,80806237,76866290,20860982,2164897,10534174,60451227,21864632,21715328,12491705,10318514,318073986,46566025,เพชรบุรี
4,502,เขาวัง - สระพระ,106424364,91615292,6481232,16891032,4218232,81169284,45395780,17008708,14510356,15252620,398966900,62639840,เพชรบุรี
4,503,สระพระ - ห้วยทรายใต้,122202267,118802265,24356381,23540380,20820378,108157166,64266227,24072017,25605109,19967287,551789477,85000059,เพชรบุรี
4,601,ห้วยทรายใต้ - วังยาว,82983403,51006945,898636,1123295,4895693,100834430,12515376,15969508,15604437,11532493,297364216,52982071,ประจวบคีรีขันธ์
4,602,วังยาว - หนองหมู,132664725,81544285,1436640,1795800,7826695,161202980,20008205,25530290,24946655,18436880,475393155,84701900,ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,106921275,107847280,775260,0,3380995,61783915,57886080,50607250,51899350,51511720,492613125,30041325,ประจวบคีรีขันธ์
4,604,ห้วยยาง -  บางสะพาน,81732443,72208498,1062150,477968,1026745,95363368,25349980,31050185,17720203,27987653,353979193,46982435,ประจวบคีรีขันธ์
4,605,บางสะพาน - น้ำรอด,80610433,72839948,634553,567758,1235708,54382263,16119860,19058840,16999328,20940233,283388924,17021593,ประจวบคีรีขันธ์
4,701,น้ำรอด - พ่อตาหินช้าง,44147480,3995290,892060,75920,550420,75682750,11397490,13580190,7724860,19663280,177709740,8958560,ชุมพร
4,702,พ่อตาหินช้าง - วังครก,65875200,26560320,899360,0,2499520,31898080,16819200,16013280,15651200,16562240,192778400,14529920,ชุมพร
4,703,วังครก - เสียบญวณ,31064274,12524851,424104,0,1178680,15041938,7931304,7551262,7380519,7810131,90907063,6851765,ชุมพร
4,801,เสียบญวณ - กระบุรี,132106275,22029210,2644425,850815,689850,43092630,9887850,8140230,7657335,4644990,231743610,43115625,ระนอง
4,802,กระบุรี - หงาว,149263228,47108131,2405708,1837086,743582,43915101,5751828,6517281,1662125,2886849,262090919,58305607,ระนอง
4,803,หงาว - อ่าวเคย,48851345,17053015,1948060,89910,1078925,51099106,3116896,3116896,1498508,1108896,128961557,39410747,ระนอง
4,901,อ่าวเคย - บางนายสี,63065387,6756056,3351429,2367279,2500273,40376743,12581159,9681907,3564218,2074694,146319145,51282188,พังงา
4,902,ตะกั่วป่า - บางสัก,38654030,37284853,8676259,4057088,1534920,7328700,5152429,2767179,4013851,980043,110449352,29970565,พังงา
4,903,คลองบางดินสอ - นาเหนือ,87122945,26218498,2366806,2264789,1693491,108709848,12221697,10977083,7243243,6651541,265469941,66290972,พังงา
4,904,นาเหนือ - เขาคราม,35519825,32649175,1691420,1262609,3108878,42368885,5919971,6658478,3799740,2763447,135742428,25097341,กระบี่
4,1001,บางสัก - ท้ายเหมือง,31920555,26723471,553536,430528,1445343,39116519,2475534,1752863,1552975,1060943,107032267,27369262,พังงา
4,1002,ท้ายเหมือง - คลองบางดินสอ,27051318,4100264,234549,52122,373541,42601048,1902453,1468103,2154376,868700,80806474,27303241,พังงา
4,1101,เขาคราม - ตลาดเก่า,120345537,120785508,72702963,4929471,5423316,139291227,7721940,5944098,4130340,2092107,483366507,76501080,กระบี่
4,1102,ตลาดเก่า - คลองท่อม,177279739,177927855,107097966,7261552,7989029,205188434,11375108,8756188,6084360,3081861,712042092,112692932,กระบี่
4,1103,คลองท่อม - นาวง,70870232,48253270,5626110,5063499,4088307,25204973,11214713,7895308,7032638,4800947,190049997,35688291,กระบี่
4,1201,นาวง - ห้วยยอด,20577335,5209901,28353,241002,21265,32124176,1105775,2324962,673389,411121,62717279,26425182,ตรัง
4,1202,ห้วยยอด - ลำภูรา,14936786,2705362,194308,59787,9965,12435696,373669,697515,244130,164414,31821632,8240642,ตรัง
4,1203,ลำภูรา - ตรัง,30360225,30196252,580212,525554,605439,37507765,727367,727367,403626,428852,102062659,21741133,ตรัง
4,1204,ตรัง - เขาพับผ้า,44686523,25185032,869661,386516,799385,53084462,3215111,3153619,1906227,2486001,135772537,47673237,ตรัง
4,1301,เขาพับผ้า - พัทลุง,107130375,34620249,2190873,1089876,923058,70308132,6583742,3914657,1812753,1846117,230419832,42772078,พัทลุง
4,1302,พัทลุง - นาโหนด,36382600,35363775,2766970,2427362,2622219,29907777,28978031,29679516,28905655,30152741,227186646,24897167,พัทลุง
4,1303,นาโหนด - ห้วยทราย,58539419,56900136,4452042,3905614,4219138,48121463,46625505,47754192,46509053,48515607,365542169,40059416,พัทลุง
4,1304,ห้วยทราย - พรุพ้อ,29742724,10209614,27519,93565,467826,49782188,2966567,5812050,5344224,7149482,111595759,7182505,พัทลุง
4,1401,พรุพ้อ - เนินพิชัย,109202220,104194178,1142775,1467681,2576845,29039926,13422003,18250787,22642627,15494683,317433725,72039630,สงขลา
4,1402,เนินพิชัย - คลองหวะ,35990469,27462131,1324823,121979,240569,34032035,5207809,10158108,8582551,7413589,130534063,9914151,สงขลา
4,1403,คลองหวะ - พังลา,68724757,36536508,4162700,0,216485,52500742,3067904,3797768,2065887,8473847,179546598,55970689,สงขลา
4,1500,พังลา - จุดผ่านแดนถาวรสะเดา (เขตแดนไทย/มาเลเซีย),70819612,18135640,1761237,2118590,918906,98948360,4645583,2680144,2501468,18773770,221303310,58439900,สงขลา
7,101,ถนนศรีนครินทร์ - บางปะกง,875777350,456105825,0,64782025,21730275,622819575,373464350,272133050,44712500,125769875,2857294825,0,กรุงเทพมหานคร
7,102,ทางแยกเข้าสถานีขนส่งสินค้าร่มเกล้า,1991954,1347031,42048,35507,40553,2234150,441411,369462,346662,355633,7204411,220892,กรุงเทพมหานคร
7,103,บางปะกง - หนองรี,394504410,131043760,28128360,23856400,54314920,349870750,106729650,43870810,36200700,74149020,1242668780,0,ชลบุรี
7,104,หนองรี - หนองขาม,230369797,140232419,168481,131041,8761016,123618312,46781580,43084356,63199125,159121,656505248,0,ชลบุรี
7,105,หนองขาม - พลา,336011874,239552470,15465058,5356817,23096689,210456880,24032297,19390945,57347298,28196672,958907000,0,ชลบุรี
7,106,ทางต่างระดับบางควาย - ทางต่างระดับบางวัว,22434360,3725920,2045460,465740,1382620,18220800,4885160,1995820,1500880,3080600,59737360,0,ฉะเชิงเทรา
7,107,ทางต่างระดับคีรี - ทางต่างระดับหนองข้างคอก,15050924,20643483,20411,13607,496663,21424536,8309917,5551738,10228532,21772,81761583,0,ชลบุรี
7,108,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,28938554,26144812,4001606,274649,1795555,31026477,17367857,16148180,10731983,14476660,150906333,0,ชลบุรี
7,109,ทางต่างระดับมาบประชัน - พัทยา,41215121,29383438,1896940,657066,2833033,25814581,2947795,2378488,7034203,3458596,117619261,0,ชลบุรี
7,110,ทางต่างระดับห่วยใหญ่ - บ้านอำเภอ,46128846,32886573,2123096,735402,3170792,28892232,3299235,2662055,7872831,3870935,131641997,0,ชลบุรี
9,101,พระประแดง - บางแค,386773857,424053792,1530854,1392348,2434787,431117589,49709010,42134928,22634767,35158609,1396940541,0,กรุงเทพมหานคร
9,102,บางแค - คลองมหาสวัสดิ์,230453080,252665739,912135,829609,1450729,256874590,29618327,25105430,13486568,20948701,832344908,0,กรุงเทพมหานคร
9,201,คลองมหาสวัสดิ์ - คลองบางไผ่,344794632,69127550,0,0,5828513,82030925,22923041,23819109,22014754,13388066,583926590,0,นนทบุรี
9,202,คลองบางไผ่ - คลองบางหลวง,469697732,171173316,0,0,50548244,82866895,48880789,33236688,25374044,22457559,904235267,0,นนทบุรี
9,301,คลองบางหลวง - ต่างระดับเชียงรากน้อย,96522154,95387243,20989022,21652193,20941164,41827634,59719579,58885488,61039084,57586493,534550054,16196415,ปทุมธานี
9,302,ต่างระดับเชียงรากน้อย - ต่างระดับบางปะอิน,27079383,26760982,5888490,6074544,5875064,11734783,16754385,16520380,17124574,16155946,149968531,4543920,พระนครศรีอยุธยา
9,401,บางปะอิน - คลองพระยาสุเรนทร์,528924420,315386280,4428180,4270500,6937920,551538360,137234160,94410900,92702700,82716300,1818549720,0,ปทุมธานี
9,402,คลองพระยาสุเรนทร์ - บางพลี,900238920,138358360,0,0,4282180,207343360,97447700,80635800,15370880,67687060,1511364260,0,กรุงเทพมหานคร
11,100,อินทร์บุรี - ช่องแค,6803030,6156566,454545,40404,40404,8489899,646465,1409091,3444444,2676768,30161616,2393939,นครสวรรค์
11,201,ช่องแค - ตากฟ้า,13127189,11879765,877095,77964,77964,16382186,1247424,2718995,6646431,5165115,58200128,4619367,นครสวรรค์
11,202,ตากฟ้า - ไดตาล,10972393,5153700,110832,33250,354663,17722077,3125469,3812629,19029897,9054995,69369905,2571308,นครสวรรค์
11,203,ไดตาล - น้ำสาดเหนือ,8714236,5598644,0,0,208603,17650534,1547702,1561160,5894727,3055030,44230636,5571728,นครสวรรค์
11,204,น้ำสาดเหนือ - หนองกลับ,12404883,7969778,0,0,296951,25125874,2203184,2222342,8391257,4348893,62963162,7931462,นครสวรรค์
11,301,หนองกลับ - เขาทราย,7072993,6069011,507631,0,445587,10880226,1449569,1071666,1455209,1133709,30085601,2385866,พิจิตร
11,302,เขาทราย - สากเหล็ก,25300503,11054425,565189,149609,365710,31002259,4937089,3657103,3025421,3324639,83381947,15925021,พิจิตร
11,401,สากเหล็ก - กกไม้แดง,18376838,2584383,80483,98368,321930,26550283,2477073,1851098,1439743,1609650,55389849,11830928,พิษณุโลก
11,402,กกไม้แดง - บ้านป่า,32569680,34135530,698610,457710,1718420,43827740,5356010,5926140,5211470,2882770,132784080,23270940,พิษณุโลก
11,403,บ้านป่า - นาอิน,133850111,44057695,533008,689011,2470039,71917134,9321147,9438149,9412148,5317084,287005526,15522245,พิษณุโลก
11,501,นาอิน - ชัยมงคล,15412910,9850042,0,0,533283,25670757,3168326,2635043,3074217,3251978,63596556,470543,อุตรดิตถ์
11,502,ชัยมงคล- บึงหลัก,55993920,10107945,142715,74460,539835,14017095,4101505,3580285,1780835,2736405,93075000,10244455,อุตรดิตถ์
11,503,บึงหลัก - หนองน้ำเขียว,47119252,10131400,63401,0,1559652,80987799,8381546,5870886,5579244,6796534,166489714,11513531,อุตรดิตถ์
11,601,หนองน้ำเขียว - ปางเคาะ,32642452,13703410,542381,664139,664139,53673533,3531008,3232145,1582866,1272934,111509007,15607276,แพร่
11,602,ปางเคาะ - ปางมะโอ,17420720,8585530,540930,429970,873810,35451720,3065270,1276040,943160,1248300,69835450,8238780,แพร่
11,701,ปางมะโอ - ป่าขาม,73764310,9426490,1755650,1039885,2187810,80840930,5185920,2660485,4254075,3308725,184424280,24173950,ลำปาง
11,702,แยกภาคเหนือ - ขุนตาน,67895459,7305469,1595922,412738,1141909,65694187,15477688,15381383,13524060,11116420,199545235,23388507,ลำปาง
11,800,ขุนตาน - อุโมงค์,157605242,80821678,5374256,1633061,7779309,75907649,33789519,26722818,19151353,15142930,423927815,64713758,ลำพูน
11,900,อุโมงค์ - กองบิน 41,166099968,105091140,19067925,15663852,20475624,77474642,30884066,27087544,17967360,22088079,501900200,49730172,เชียงใหม่
12,100,กลางสะพานมิตรภาพที่แม่สอด(เขตแดน ไทย / พม่า) - แม่ละเมา,38521405,18058154,3428259,265757,292332,83367814,7520909,3096063,4982934,4916495,164450122,38255648,ตาก
12,201,แม่ละเมา - ตาก,17959095,14327528,1047915,397485,234878,52431885,5853870,2583653,3595433,6233288,104665030,4679483,ตาก
12,202,ตาก - หนองเสือ,18620834,22282672,155823,116867,77911,12232096,1142701,1740022,1545244,1636140,59550310,12076273,ตาก
12,203,หนองเสือ - วังวน,36710131,11891627,183230,100777,146584,8620972,2061338,897827,1337579,751243,62701308,5524385,สุโขทัย
12,301,วังวน - เมืองเก่า,5265198,1705572,26280,14454,21024,1236474,295650,128772,191844,107748,8993016,792342,สุโขทัย
12,302,เมืองเก่า - สุโขทัย,28300386,28226301,1286381,1330159,501756,3017271,2320201,761053,538798,343484,66625790,22020017,สุโขทัย
12,303,สุโขทัย - บ้านกร่าง,38899127,30245798,549654,713064,839336,6714686,2555146,1307284,571937,297110,82693142,13303100,สุโขทัย
12,401,บ้านกร่าง - พิษณุโลก,73279316,84545388,3212548,2005073,2093695,29300649,9825964,5073610,5062532,5173309,219572084,41209230,พิษณุโลก
12,402,พิษณุโลก - ร้องโพธิ์,123626335,121871561,972646,957605,842292,53610853,2887857,1699624,792155,521419,307782347,58408906,พิษณุโลก
12,501,ร้องโพธิ์ - วังทอง,23761500,24455000,533813,264625,1546688,54562938,2951938,3066000,2381625,1095000,114619127,16069125,พิษณุโลก
12,502,วังทอง - เข็กน้อย,77290428,85906747,1179615,2384874,2359230,27182433,6590458,4769748,2205367,1615560,211484460,10488316,พิษณุโลก
12,601,เข็กน้อย - แยกอาเซียน,42502233,10367211,600032,155564,344463,45013476,2066775,800042,800042,300016,102949854,8067091,เพชรบูรณ์
12,602,แยกอาเซียน - น้ำดุก,18512618,8062789,148101,60983,91474,23247492,2696308,984436,152457,152457,54109115,16913999,เพชรบูรณ์
12,603,น้ำดุก - ห้วยซำมะคาว,15941704,22873773,431969,41140,370259,29106465,2715232,431969,452539,308549,72673599,9585592,เพชรบูรณ์
